aircraft_id,time_id,total_flight_hours,total_flight_cycles
XY-AAB,164,2.0,1
XY-AAB,165,5.0,1
XY-AAB,166,11.0,3
XY-AAB,168,2.0,2
XY-AAB,169,7.0,3
XY-AAB,171,5.0,2
XY-AAB,172,4.0,2
XY-AAB,173,10.0,2
XY-AAB,175,5.0,3
XY-AAB,176,4.0,1
XY-AAB,177,1.0,1
XY-AAB,178,3.0,2
XY-AAB,179,7.0,3
XY-AAB,180,8.0,2
XY-AAB,181,3.0,1
XY-AAB,182,6.0,3
XY-AAB,183,6.0,3
XY-AAB,184,5.0,2
XY-AAB,185,1.0,1
XY-AAB,186,6.0,2
XY-AAB,187,2.0,1
XY-AAB,189,2.0,1
XY-AAB,190,4.0,1
XY-AAB,192,1.0,1
XY-AAB,193,5.0,2
XY-AAB,195,6.0,2
XY-AAB,196,3.0,3
XY-AAB,197,4.0,2
XY-AAB,198,5.0,1
XY-AAB,199,1.0,1
XY-AAB,200,2.0,1
XY-AAB,201,5.0,2
XY-AAB,202,6.0,2
XY-AAB,203,5.0,2
XY-AAB,204,6.0,2
XY-AAB,205,4.0,2
XY-AAB,206,1.0,1
XY-AAB,207,4.0,2
XY-AAB,208,6.0,2
XY-AAB,209,7.0,2
XY-AAB,210,7.0,3
XY-AAB,211,2.0,1
XY-AAB,212,11.0,3
XY-AAB,213,6.0,2
XY-AAB,214,4.0,1
XY-AAB,215,10.0,3
XY-AAB,216,5.0,1
XY-AAB,217,5.0,2
XY-AAB,218,3.0,3
XY-AAB,219,6.0,2
XY-AAB,220,3.0,1
XY-AAB,221,8.0,3
XY-AAB,223,3.0,2
XY-AAB,224,1.0,1
XY-AAB,225,1.0,1
XY-AAB,226,1.0,1
XY-AAB,227,2.0,1
XY-AAB,228,10.0,2
XY-AAB,229,6.0,2
XY-AAB,230,3.0,1
XY-AAB,231,8.0,2
XY-AAB,232,9.0,3
XY-AAB,234,2.0,1
XY-AAB,235,8.0,2
XY-AAB,236,4.0,1
XY-AAB,237,5.0,1
XY-AAB,238,5.0,2
XY-AAB,239,1.0,1
XY-AAB,240,1.0,1
XY-AAB,241,4.0,4
XY-AAB,243,9.0,2
XY-AAB,244,1.0,1
XY-AAB,245,8.0,4
XY-AAB,246,7.0,3
XY-AAB,247,1.0,1
XY-AAB,248,1.0,1
XY-AAB,249,1.0,1
XY-AAB,250,1.0,1
XY-AAB,251,7.0,3
XY-AAB,252,3.0,1
XY-AAB,255,4.0,2
XY-AAB,256,1.0,1
XY-AAB,257,4.0,1
XY-AAB,258,6.0,2
XY-AAB,259,5.0,2
XY-AAB,260,5.0,2
XY-AAB,261,4.0,2
XY-AAB,262,6.0,3
XY-AAB,263,2.0,1
XY-AAB,265,4.0,2
XY-AAB,266,3.0,2
XY-AAB,267,1.0,1
XY-AAB,268,2.0,1
XY-AAB,269,4.0,2
XY-AAB,271,4.0,1
XY-AAB,272,5.0,1
XY-AAB,273,5.0,3
XY-AAB,275,10.0,3
XY-AAB,276,4.0,1
XY-AAB,277,1.0,1
XY-AAB,278,5.0,2
XY-AAB,279,2.0,1
XY-AAB,280,3.0,1
XY-AAB,281,1.0,1
XY-AAB,283,1.0,1
XY-AAB,284,1.0,1
XY-AAB,285,2.0,2
XY-AAB,286,3.0,3
XY-AAB,287,7.0,2
XY-AAB,288,3.0,1
XY-AAB,289,5.0,1
XY-AAB,290,5.0,1
XY-AAB,291,8.0,3
XY-AAB,292,5.0,3
XY-AAB,293,6.0,2
XY-AAB,295,2.0,1
XY-AAB,296,3.0,1
XY-AAB,297,6.0,2
XY-AAB,298,3.0,2
XY-AAB,299,6.0,3
XY-AAB,300,1.0,1
XY-AAB,303,7.0,3
XY-AAB,304,1.0,1
XY-AAB,305,5.0,1
XY-AAB,306,3.0,1
XY-AAB,307,4.0,1
XY-AAB,308,2.0,1
XY-AAB,309,1.0,1
XY-AAB,310,1.0,1
XY-AAB,311,3.0,1
XY-AAB,312,7.0,3
XY-AAB,313,3.0,1
XY-AAB,315,1.0,1
XY-AAB,316,5.0,2
XY-AAB,317,2.0,1
XY-AAB,319,3.0,1
XY-AAB,320,2.0,1
XY-AAB,321,1.0,1
XY-AAB,322,4.0,1
XY-AAB,323,3.0,1
XY-AAB,325,3.0,2
XY-AAB,327,4.0,3
XY-AAB,328,5.0,2
XY-AAB,329,6.0,2
XY-AAB,330,4.0,4
XY-AAB,331,5.0,2
XY-AAB,333,2.0,2
XY-AAB,335,4.0,2
XY-AAB,336,5.0,1
XY-AAB,337,4.0,2
XY-AAB,340,2.0,1
XY-AAB,341,3.0,2
XY-AAB,343,2.0,1
XY-AAB,344,3.0,2
XY-AAB,345,9.0,2
XY-AAB,346,12.0,4
XY-AAB,348,5.0,4
XY-AAB,349,4.0,1
XY-AAB,350,5.0,2
XY-AAB,351,3.0,1
XY-AAB,352,2.0,1
XY-AAB,353,1.0,1
XY-AAB,354,6.0,2
XY-AAB,355,5.0,1
XY-AAB,356,1.0,1
XY-AAB,358,5.0,1
XY-AAB,360,1.0,1
XY-AAB,361,5.0,1
XY-AAB,362,2.0,2
XY-AAB,363,1.0,1
XY-AAB,364,6.0,3
XY-ACY,1,3.0,1
XY-ACY,2,5.0,1
XY-ACY,3,4.0,1
XY-ACY,4,8.0,3
XY-ACY,6,4.0,2
XY-ACY,7,1.0,1
XY-ACY,8,6.0,2
XY-ACY,9,1.0,1
XY-ACY,11,1.0,1
XY-ACY,12,6.0,2
XY-ACY,13,4.0,2
XY-ACY,15,5.0,1
XY-ACY,16,8.0,3
XY-ACY,17,2.0,1
XY-ACY,18,3.0,1
XY-ACY,19,4.0,2
XY-ACY,20,5.0,2
XY-ACY,21,5.0,2
XY-ACY,22,4.0,1
XY-ACY,23,1.0,1
XY-ACY,24,3.0,1
XY-ACY,25,5.0,2
XY-ACY,26,2.0,1
XY-ACY,27,1.0,1
XY-ACY,28,1.0,1
XY-ACY,29,3.0,1
XY-ACY,30,1.0,1
XY-ACY,33,4.0,1
XY-ACY,34,4.0,2
XY-ACY,35,4.0,2
XY-ACY,36,4.0,2
XY-ACY,39,7.0,3
XY-ACY,40,3.0,1
XY-ACY,41,3.0,1
XY-ACY,42,3.0,2
XY-ACY,43,2.0,2
XY-ACY,44,5.0,1
XY-ACY,45,4.0,1
XY-ACY,46,6.0,2
XY-ACY,47,3.0,1
XY-ACY,48,7.0,3
XY-ACY,49,2.0,2
XY-ACY,50,2.0,1
XY-ACY,51,4.0,1
XY-ACY,53,9.0,2
XY-ACY,54,9.0,2
XY-ACY,55,5.0,2
XY-ACY,56,1.0,1
XY-ACY,58,16.0,5
XY-ACY,59,6.0,2
XY-ACY,60,5.0,2
XY-ACY,61,2.0,2
XY-ACY,62,2.0,1
XY-ACY,63,5.0,2
XY-ACY,64,2.0,2
XY-ACY,66,1.0,1
XY-ACY,67,4.0,1
XY-ACY,68,2.0,1
XY-ACY,69,5.0,2
XY-ACY,73,3.0,2
XY-ACY,74,9.0,3
XY-ACY,75,7.0,2
XY-ACY,77,3.0,2
XY-ACY,78,2.0,2
XY-ACY,79,9.0,3
XY-ACY,80,5.0,2
XY-ACY,81,1.0,1
XY-ACY,82,4.0,3
XY-ACY,83,6.0,2
XY-ACY,85,5.0,2
XY-ACY,86,1.0,1
XY-ACY,87,3.0,1
XY-ACY,88,2.0,2
XY-ACY,89,2.0,1
XY-ACY,90,1.0,1
XY-ACY,91,6.0,2
XY-ACY,92,5.0,2
XY-ACY,94,2.0,1
XY-ACY,95,2.0,2
XY-ACY,97,8.0,3
XY-ACY,99,1.0,1
XY-ACY,100,11.0,3
XY-ACY,101,2.0,1
XY-ACY,102,1.0,1
XY-ACY,103,1.0,1
XY-ACY,104,3.0,2
XY-ACY,106,5.0,1
XY-ACY,107,1.0,1
XY-ACY,108,1.0,1
XY-ACY,109,6.0,2
XY-ACY,110,6.0,2
XY-ACY,111,7.0,2
XY-ACY,113,5.0,2
XY-ACY,114,3.0,2
XY-ACY,115,2.0,1
XY-ACY,116,3.0,2
XY-ACY,117,7.0,2
XY-ACY,118,8.0,3
XY-ACY,121,1.0,1
XY-ACY,122,7.0,3
XY-ACY,123,2.0,2
XY-ACY,124,7.0,2
XY-ACY,125,3.0,2
XY-ACY,126,1.0,1
XY-ACY,127,7.0,2
XY-ACY,130,3.0,1
XY-ACY,132,8.0,3
XY-ACY,134,3.0,2
XY-ACY,135,5.0,1
XY-ACY,136,1.0,1
XY-ACY,137,6.0,2
XY-ACY,138,1.0,1
XY-ACY,139,6.0,2
XY-ACY,140,5.0,3
XY-ACY,141,5.0,1
XY-ACY,142,5.0,1
XY-ACY,143,3.0,2
XY-ACY,144,2.0,1
XY-ACY,145,5.0,2
XY-ACY,146,1.0,1
XY-ACY,147,4.0,2
XY-ACY,148,3.0,1
XY-ACY,149,5.0,3
XY-ACY,150,1.0,1
XY-ACY,151,3.0,1
XY-ACY,152,6.0,2
XY-ACY,153,1.0,1
XY-ACY,154,4.0,1
XY-ACY,155,5.0,3
XY-ACY,156,2.0,1
XY-ACY,157,2.0,2
XY-ACY,158,3.0,2
XY-ACY,159,10.0,3
XY-ACY,161,1.0,1
XY-ACY,163,9.0,3
XY-ACY,164,3.0,1
XY-ACY,165,6.0,2
XY-ACY,166,9.0,3
XY-ACY,170,9.0,5
XY-ACY,171,4.0,1
XY-ACY,172,4.0,1
XY-ACY,174,5.0,3
XY-ACY,175,4.0,1
XY-ACY,176,1.0,1
XY-ACY,177,5.0,1
XY-ACY,178,1.0,1
XY-ACY,179,4.0,1
XY-ACY,180,4.0,1
XY-ACY,181,1.0,1
XY-ACY,182,2.0,2
XY-ACY,183,2.0,2
XY-ACY,184,7.0,3
XY-ACY,185,1.0,1
XY-ACY,186,1.0,1
XY-ACY,188,1.0,1
XY-ACY,189,6.0,4
XY-ACY,190,1.0,1
XY-ACY,191,1.0,1
XY-ACY,192,1.0,1
XY-ACY,194,6.0,2
XY-ACY,195,5.0,1
XY-ACY,196,3.0,2
XY-ACY,197,4.0,1
XY-ACY,198,5.0,1
XY-ACY,199,1.0,1
XY-ACY,200,8.0,4
XY-ACY,202,1.0,1
XY-ACY,204,3.0,1
XY-ACY,205,3.0,1
XY-ACY,206,4.0,2
XY-ACY,207,5.0,3
XY-ACY,208,2.0,2
XY-ACY,209,4.0,1
XY-ACY,210,4.0,3
XY-ACY,211,5.0,2
XY-ACY,212,6.0,2
XY-ACY,213,8.0,3
XY-ACY,214,7.0,2
XY-ACY,215,4.0,2
XY-ACY,217,4.0,2
XY-ACY,218,4.0,3
XY-ACY,219,2.0,2
XY-ACY,220,6.0,2
XY-ACY,221,1.0,1
XY-ACY,223,1.0,1
XY-ACY,224,2.0,2
XY-ACY,226,7.0,3
XY-ACY,227,4.0,2
XY-ACY,228,4.0,2
XY-ACY,230,7.0,2
XY-ACY,231,5.0,1
XY-ACY,232,1.0,1
XY-ACY,233,3.0,1
XY-ACY,235,1.0,1
XY-ACY,236,5.0,2
XY-ACY,238,1.0,1
XY-ACY,239,7.0,2
XY-ACY,240,1.0,1
XY-ACY,242,3.0,2
XY-ACY,243,7.0,2
XY-ACY,244,9.0,2
XY-ACY,245,4.0,1
XY-ACY,246,6.0,2
XY-ACY,247,1.0,1
XY-ACY,248,3.0,2
XY-ACY,251,1.0,1
XY-ACY,253,9.0,2
XY-ACY,254,3.0,3
XY-ACY,255,2.0,2
XY-ACY,256,7.0,2
XY-ACY,257,4.0,1
XY-ACY,258,1.0,1
XY-ACY,260,2.0,1
XY-ACY,261,1.0,1
XY-ACY,262,1.0,1
XY-ACY,263,11.0,4
XY-ACY,264,3.0,1
XY-ACY,265,5.0,2
XY-ACY,266,3.0,1
XY-ACY,267,6.0,2
XY-ACY,270,1.0,1
XY-ACY,271,4.0,2
XY-ACY,273,1.0,1
XY-ACY,274,2.0,1
XY-ACY,275,3.0,1
XY-ACY,276,3.0,3
XY-ACY,278,1.0,1
XY-ACY,279,6.0,2
XY-ACY,280,8.0,3
XY-ACY,281,7.0,3
XY-ACY,282,1.0,1
XY-ACY,284,2.0,1
XY-ACY,285,10.0,3
XY-ACY,286,4.0,1
XY-ACY,287,4.0,1
XY-ACY,289,2.0,1
XY-ACY,291,6.0,2
XY-ACY,292,8.0,3
XY-ACY,294,3.0,2
XY-ACY,295,4.0,1
XY-ACY,296,3.0,1
XY-ACY,298,3.0,1
XY-ACY,300,4.0,1
XY-ACY,301,1.0,1
XY-ACY,302,10.0,4
XY-ACY,303,5.0,2
XY-ACY,305,3.0,2
XY-ACY,306,4.0,2
XY-ACY,309,3.0,1
XY-ACY,310,4.0,1
XY-ACY,311,3.0,1
XY-ACY,312,6.0,2
XY-ACY,314,6.0,2
XY-ACY,315,1.0,1
XY-ACY,316,5.0,1
XY-ACY,317,3.0,2
XY-ACY,318,6.0,2
XY-ACY,319,6.0,2
XY-ACY,320,6.0,2
XY-ACY,321,1.0,1
XY-ACY,322,1.0,1
XY-ACY,323,2.0,1
XY-ACY,324,5.0,2
XY-ACY,325,1.0,1
XY-ACY,326,2.0,1
XY-ACY,328,2.0,1
XY-ACY,329,7.0,2
XY-ACY,331,1.0,1
XY-ACY,332,12.0,4
XY-ACY,334,1.0,1
XY-ACY,335,5.0,1
XY-ACY,336,3.0,2
XY-ACY,337,5.0,3
XY-ACY,338,2.0,1
XY-ACY,339,1.0,1
XY-ACY,341,9.0,2
XY-ACY,342,3.0,1
XY-ACY,343,6.0,2
XY-ACY,344,7.0,2
XY-ACY,345,10.0,3
XY-ACY,346,2.0,2
XY-ACY,347,5.0,2
XY-ACY,349,3.0,2
XY-ACY,350,5.0,2
XY-ACY,351,7.0,3
XY-ACY,352,15.0,3
XY-ACY,353,3.0,2
XY-ACY,354,5.0,2
XY-ACY,355,12.0,3
XY-ACY,356,4.0,1
XY-ACY,357,2.0,1
XY-ACY,358,4.0,2
XY-ACY,360,8.0,2
XY-ACY,361,3.0,1
XY-ACY,362,3.0,1
XY-ACY,364,6.0,2
XY-AFD,1,1.0,1
XY-AFD,2,8.0,2
XY-AFD,3,4.0,1
XY-AFD,4,1.0,1
XY-AFD,5,5.0,1
XY-AFD,6,3.0,1
XY-AFD,7,1.0,1
XY-AFD,8,1.0,1
XY-AFD,9,4.0,1
XY-AFD,10,5.0,2
XY-AFD,11,1.0,1
XY-AFD,12,6.0,2
XY-AFD,14,7.0,2
XY-AFD,16,1.0,1
XY-AFD,17,4.0,1
XY-AFD,18,5.0,2
XY-AFD,20,5.0,1
XY-AFD,21,3.0,1
XY-AFD,23,3.0,1
XY-AFD,24,11.0,3
XY-AFD,25,1.0,1
XY-AFD,26,5.0,1
XY-AFD,27,1.0,1
XY-AFD,29,4.0,3
XY-AFD,30,1.0,1
XY-AFD,31,4.0,2
XY-AFD,38,2.0,1
XY-AFD,39,5.0,1
XY-AFD,40,3.0,1
XY-AFD,41,1.0,1
XY-AFD,42,3.0,1
XY-AFD,43,5.0,2
XY-AFD,44,3.0,2
XY-AFD,45,5.0,1
XY-AFD,46,5.0,1
XY-AFD,47,3.0,1
XY-AFD,48,4.0,1
XY-AFD,50,5.0,2
XY-AFD,51,2.0,1
XY-AFD,52,4.0,1
XY-AFD,54,3.0,1
XY-AFD,55,6.0,3
XY-AFD,59,2.0,2
XY-AFD,60,3.0,1
XY-AFD,62,8.0,2
XY-AFD,63,5.0,1
XY-AFD,64,4.0,1
XY-AFD,65,5.0,2
XY-AFD,66,2.0,2
XY-AFD,67,1.0,1
XY-AFD,68,6.0,2
XY-AFD,69,6.0,2
XY-AFD,71,4.0,3
XY-AFD,72,2.0,1
XY-AFD,73,2.0,1
XY-AFD,74,6.0,2
XY-AFD,75,1.0,1
XY-AFD,77,6.0,2
XY-AFD,79,6.0,2
XY-AFD,81,5.0,2
XY-AFD,82,8.0,2
XY-AFD,83,5.0,1
XY-AFD,84,6.0,2
XY-AFD,85,2.0,1
XY-AFD,86,4.0,1
XY-AFD,87,5.0,1
XY-AFD,89,3.0,2
XY-AFD,91,2.0,1
XY-AFD,92,1.0,1
XY-AFD,93,3.0,1
XY-AFD,95,9.0,5
XY-AFD,96,3.0,1
XY-AFD,97,1.0,1
XY-AFD,98,9.0,3
XY-AFD,99,4.0,2
XY-AFD,100,6.0,2
XY-AFD,101,11.0,3
XY-AFD,102,1.0,1
XY-AFD,103,2.0,2
XY-AFD,105,9.0,3
XY-AFD,108,2.0,2
XY-AFD,109,1.0,1
XY-AFD,111,2.0,1
XY-AFD,112,3.0,1
XY-AFD,113,5.0,1
XY-AFD,114,5.0,2
XY-AFD,115,3.0,1
XY-AFD,116,6.0,2
XY-AFD,117,5.0,1
XY-AFD,118,1.0,1
XY-AFD,119,2.0,1
XY-AFD,120,6.0,2
XY-AFD,121,3.0,2
XY-AFD,122,6.0,2
XY-AFD,123,4.0,1
XY-AFD,124,10.0,3
XY-AFD,125,4.0,1
XY-AFD,127,5.0,3
XY-AFD,128,4.0,1
XY-AFD,129,8.0,2
XY-AFD,131,1.0,1
XY-AFD,132,9.0,3
XY-AFD,135,5.0,1
XY-AFD,136,4.0,1
XY-AFD,137,4.0,3
XY-AFD,138,6.0,2
XY-AFD,139,1.0,1
XY-AFD,141,6.0,2
XY-AFD,142,4.0,1
XY-AFD,143,7.0,2
XY-AFD,144,2.0,2
XY-AFD,145,5.0,3
XY-AFD,146,2.0,1
XY-AFD,147,9.0,2
XY-AFD,148,6.0,3
XY-AFD,149,4.0,2
XY-AFD,150,2.0,1
XY-AFD,151,1.0,1
XY-AFD,152,6.0,2
XY-AFD,153,2.0,1
XY-AFD,154,7.0,2
XY-AFD,155,4.0,1
XY-AFD,156,5.0,1
XY-AFD,157,5.0,1
XY-AFD,158,3.0,2
XY-AFD,159,4.0,2
XY-AFD,160,3.0,1
XY-AFD,162,7.0,2
XY-AFD,163,6.0,2
XY-AFD,164,4.0,1
XY-AFD,165,4.0,1
XY-AFD,167,1.0,1
XY-AFD,168,2.0,2
XY-AFD,169,5.0,2
XY-AFD,171,7.0,3
XY-AFD,172,2.0,1
XY-AFD,173,2.0,1
XY-AFD,175,2.0,1
XY-AFD,176,1.0,1
XY-AFD,177,10.0,3
XY-AFD,178,12.0,3
XY-AFD,180,5.0,1
XY-AFD,181,2.0,1
XY-AFD,183,9.0,3
XY-AFD,184,4.0,1
XY-AFD,186,3.0,2
XY-AFD,187,1.0,1
XY-AFD,188,6.0,2
XY-AFD,189,2.0,1
XY-AFD,190,6.0,2
XY-AFD,191,6.0,2
XY-AFD,192,3.0,1
XY-AFD,195,6.0,2
XY-AFD,196,5.0,1
XY-AFD,197,7.0,2
XY-AFD,199,2.0,1
XY-AFD,200,5.0,2
XY-AFD,201,8.0,2
XY-AFD,202,5.0,1
XY-AFD,203,2.0,2
XY-AFD,204,6.0,2
XY-AFD,205,1.0,1
XY-AFD,206,4.0,1
XY-AFD,207,4.0,2
XY-AFD,208,10.0,3
XY-AFD,209,2.0,2
XY-AFD,210,4.0,1
XY-AFD,211,5.0,1
XY-AFD,215,7.0,3
XY-AFD,216,1.0,1
XY-AFD,218,1.0,1
XY-AFD,220,6.0,2
XY-AFD,222,1.0,1
XY-AFD,224,3.0,1
XY-AFD,225,2.0,2
XY-AFD,226,2.0,1
XY-AFD,227,1.0,1
XY-AFD,228,1.0,1
XY-AFD,230,10.0,3
XY-AFD,232,7.0,3
XY-AFD,233,5.0,3
XY-AFD,234,4.0,2
XY-AFD,235,2.0,1
XY-AFD,236,6.0,3
XY-AFD,237,1.0,1
XY-AFD,238,3.0,2
XY-AFD,240,2.0,1
XY-AFD,241,4.0,1
XY-AFD,242,3.0,1
XY-AFD,244,2.0,1
XY-AFD,245,6.0,2
XY-AFD,246,3.0,2
XY-AFD,247,4.0,1
XY-AFD,248,6.0,2
XY-AFD,249,2.0,2
XY-AFD,252,3.0,3
XY-AFD,253,3.0,1
XY-AFD,254,5.0,1
XY-AFD,255,5.0,2
XY-AFD,256,4.0,1
XY-AFD,257,7.0,2
XY-AFD,258,4.0,1
XY-AFD,260,3.0,1
XY-AFD,261,2.0,2
XY-AFD,262,7.0,3
XY-AFD,264,9.0,2
XY-AFD,265,6.0,3
XY-AFD,266,5.0,2
XY-AFD,267,5.0,2
XY-AFD,269,1.0,1
XY-AFD,270,2.0,1
XY-AFD,271,2.0,2
XY-AFD,272,3.0,1
XY-AFD,273,4.0,1
XY-AFD,274,4.0,1
XY-AFD,276,2.0,2
XY-AFD,277,2.0,1
XY-AFD,279,5.0,1
XY-AFD,280,5.0,2
XY-AFD,282,4.0,1
XY-AFD,283,2.0,2
XY-AFD,284,5.0,1
XY-AFD,285,1.0,1
XY-AFD,286,3.0,1
XY-AFD,287,1.0,1
XY-AFD,288,3.0,1
XY-AFD,289,4.0,2
XY-AFD,290,2.0,2
XY-AFD,291,1.0,1
XY-AFD,292,6.0,2
XY-AFD,293,3.0,1
XY-AFD,298,6.0,2
XY-AFD,303,2.0,2
XY-AFD,304,1.0,1
XY-AFD,305,1.0,1
XY-AFD,306,4.0,1
XY-AFD,307,2.0,1
XY-AFD,308,5.0,2
XY-AFD,310,1.0,1
XY-AFD,311,5.0,2
XY-AFD,312,4.0,2
XY-AFD,313,2.0,1
XY-AFD,314,1.0,1
XY-AFD,315,5.0,1
XY-AFD,316,8.0,2
XY-AFD,318,4.0,1
XY-AFD,320,1.0,1
XY-AFD,321,6.0,4
XY-AFD,323,2.0,1
XY-AFD,324,5.0,3
XY-AFD,325,5.0,2
XY-AFD,326,7.0,2
XY-AFD,328,4.0,2
XY-AFD,329,1.0,1
XY-AFD,330,1.0,1
XY-AFD,331,3.0,1
XY-AFD,332,3.0,2
XY-AFD,333,9.0,2
XY-AFD,334,7.0,2
XY-AFD,335,5.0,1
XY-AFD,336,5.0,1
XY-AFD,337,3.0,1
XY-AFD,338,4.0,2
XY-AFD,339,6.0,2
XY-AFD,340,4.0,3
XY-AFD,341,2.0,1
XY-AFD,342,2.0,1
XY-AFD,343,5.0,2
XY-AFD,344,3.0,2
XY-AFD,345,3.0,2
XY-AFD,346,1.0,1
XY-AFD,347,4.0,3
XY-AFD,348,1.0,1
XY-AFD,350,1.0,1
XY-AFD,351,7.0,3
XY-AFD,352,1.0,1
XY-AFD,353,4.0,2
XY-AFD,354,5.0,1
XY-AFD,355,3.0,1
XY-AFD,356,3.0,1
XY-AFD,357,7.0,3
XY-AFD,358,4.0,1
XY-AFD,359,5.0,1
XY-AFD,360,10.0,3
XY-AFD,361,1.0,1
XY-AFD,362,7.0,3
XY-AFD,363,2.0,1
XY-AFD,364,4.0,1
XY-AGF,1,8.0,3
XY-AGF,3,3.0,1
XY-AGF,4,4.0,1
XY-AGF,5,5.0,1
XY-AGF,7,1.0,1
XY-AGF,8,7.0,2
XY-AGF,9,4.0,3
XY-AGF,10,8.0,4
XY-AGF,11,10.0,3
XY-AGF,12,1.0,1
XY-AGF,13,4.0,1
XY-AGF,15,6.0,2
XY-AGF,17,2.0,2
XY-AGF,18,3.0,1
XY-AGF,19,4.0,2
XY-AGF,20,5.0,1
XY-AGF,21,3.0,1
XY-AGF,22,1.0,1
XY-AGF,23,5.0,1
XY-AGF,25,3.0,1
XY-AGF,26,2.0,1
XY-AGF,27,5.0,1
XY-AGF,28,5.0,1
XY-AGF,29,2.0,1
XY-AGF,30,4.0,3
XY-AGF,31,1.0,1
XY-AGF,32,1.0,1
XY-AGF,33,5.0,1
XY-AGF,35,3.0,2
XY-AGF,37,5.0,1
XY-AGF,38,4.0,2
XY-AGF,39,3.0,1
XY-AGF,40,4.0,2
XY-AGF,41,2.0,2
XY-AGF,45,13.0,4
XY-AGF,46,5.0,1
XY-AGF,47,6.0,2
XY-AGF,48,6.0,2
XY-AGF,49,5.0,2
XY-AGF,50,5.0,2
XY-AGF,51,5.0,1
XY-AGF,52,2.0,1
XY-AGF,56,5.0,2
XY-AGF,57,3.0,1
XY-AGF,58,5.0,1
